OrthoDB 12v0,OrthoDB 12v2,Human gene,Human paralogs,Total orthologs,Protein class
10253254at2759,4929233at2759,ECM16,10,265,RNA metabolism
10253254at2759,235705at2759,ECM16,10,265,RNA metabolism
10253254at2759,5016773at2759,ECM16,10,265,RNA metabolism
10253254at2759,4934031at2759,ECM16,10,265,RNA metabolism
10253254at2759,692385at2759,ECM16,10,265,RNA metabolism
10253254at2759,938505at2759,ECM16,10,265,RNA metabolism
10253254at2759,2527396at2759,ECM16,10,265,RNA metabolism
10253254at2759,804438at2759,ECM16,10,265,RNA metabolism
10253254at2759,4944799at2759,ECM16,10,265,RNA metabolism
10253254at2759,4813274at2759,ECM16,10,265,RNA metabolism
10253254at2759,4364867at2759,ECM16,10,265,RNA metabolism
10253254at2759,292841at2759,ECM16,10,265,RNA metabolism
10253254at2759,4858573at2759,ECM16,10,265,RNA metabolism
10253254at2759,5006821at2759,ECM16,10,265,RNA metabolism
10253254at2759,4793208at2759,ECM16,10,265,RNA metabolism
10253254at2759,4618709at2759,ECM16,10,265,RNA metabolism
10254527at2759,5024084at2759,ETF1,2,44,translational protein
10254527at2759,5000051at2759,ETF1,2,44,translational protein
10254671at2759,5003886at2759,CKA2,3,59,Unclassified
10254671at2759,293469at2759,CKA2,3,59,Unclassified
10254671at2759,5015836at2759,CKA2,3,59,Unclassified
10254671at2759,304231at2759,CKA2,3,59,Unclassified
10254671at2759,4982995at2759,CKA2,3,59,Unclassified
10254671at2759,5015483at2759,CKA2,3,59,Unclassified
10255013at2759,5006629at2759,SSO2,9,94,membrane traffic protein
10255013at2759,639062at2759,SSO2,9,94,membrane traffic protein
10255013at2759,1792748at2759,SSO2,9,94,membrane traffic protein
10255013at2759,4935568at2759,SSO2,9,94,membrane traffic protein
10255013at2759,4894318at2759,SSO2,9,94,membrane traffic protein
10255013at2759,4596386at2759,SSO2,9,94,membrane traffic protein
10255013at2759,2491240at2759,SSO2,9,94,membrane traffic protein
10255414at2759,2747976at2759,SUI3,1,39,translational protein
10255414at2759,273718at2759,SUI3,1,39,translational protein
10255414at2759,4942224at2759,SUI3,1,39,translational protein
10255768at2759,5012920at2759,Rpt3R,1,71,protein modifying enzyme
10255768at2759,2746553at2759,Rpt3R,1,71,protein modifying enzyme
10255768at2759,792223at2759,Rpt3R,1,71,protein modifying enzyme
10255768at2759,5002001at2759,Rpt3R,1,71,protein modifying enzyme
10255768at2759,4971596at2759,Rpt3R,1,71,protein modifying enzyme
10255768at2759,4993664at2759,Rpt3R,1,71,protein modifying enzyme
10255768at2759,4948653at2759,Rpt3R,1,71,protein modifying enzyme
10256122at2759,759037at2759,PRP46,2,37,Unclassified
10256289at2759,5012811at2759,Sec23,2,51,membrane traffic protein
10256771at2759,4886954at2759,PSMD7,1,35,translational protein
10258825at2759,785367at2759,RRP8,1,33,Unclassified
10260625at2759,783301at2759,Ywhaz,9,102,scaffold/adaptor protein
10260625at2759,4894766at2759,Ywhaz,9,102,scaffold/adaptor protein
10260625at2759,698921at2759,Ywhaz,9,102,scaffold/adaptor protein
10260625at2759,593429at2759,Ywhaz,9,102,scaffold/adaptor protein
10260625at2759,5027479at2759,Ywhaz,9,102,scaffold/adaptor protein
10260794at2759,538728at2759,SF3B2,1,35,RNA metabolism
10260794at2759,327273at2759,SF3B2,1,35,RNA metabolism
10261556at2759,5006307at2759,him,6,171,DNA metabolism
10261556at2759,250699at2759,him,6,171,DNA metabolism
10261556at2759,804673at2759,him,6,171,DNA metabolism
10261556at2759,5003245at2759,him,6,171,DNA metabolism
10261556at2759,168967at2759,him,6,171,DNA metabolism
10261556at2759,627735at2759,him,6,171,DNA metabolism
10261556at2759,4674754at2759,him,6,171,DNA metabolism
10261556at2759,489340at2759,him,6,171,DNA metabolism
10261556at2759,2847939at2759,him,6,171,DNA metabolism
10261556at2759,4819615at2759,him,6,171,DNA metabolism
10261556at2759,5001775at2759,him,6,171,DNA metabolism
10261556at2759,5006164at2759,him,6,171,DNA metabolism
10261556at2759,795021at2759,him,6,171,DNA metabolism
10261556at2759,4889033at2759,him,6,171,DNA metabolism
10261556at2759,4840434at2759,him,6,171,DNA metabolism
10261556at2759,2440651at2759,him,6,171,DNA metabolism
10261556at2759,793891at2759,him,6,171,DNA metabolism
10261556at2759,4771062at2759,him,6,171,DNA metabolism
10261556at2759,4452098at2759,him,6,171,DNA metabolism
10261556at2759,4689512at2759,him,6,171,DNA metabolism
10261556at2759,4969593at2759,him,6,171,DNA metabolism
10261556at2759,802451at2759,him,6,171,DNA metabolism
10261556at2759,2350526at2759,him,6,171,DNA metabolism
10261556at2759,249211at2759,him,6,171,DNA metabolism
10261556at2759,768341at2759,him,6,171,DNA metabolism
10261556at2759,4699099at2759,him,6,171,DNA metabolism
10261556at2759,2130047at2759,him,6,171,DNA metabolism
10261556at2759,4808428at2759,him,6,171,DNA metabolism
10261556at2759,1449013at2759,him,6,171,DNA metabolism
10262475at2759,5000848at2759,Bub3,2,45,RNA metabolism
10262475at2759,4886469at2759,Bub3,2,45,RNA metabolism
10262475at2759,4929658at2759,Bub3,2,45,RNA metabolism
10262475at2759,5002026at2759,Bub3,2,45,RNA metabolism
10262475at2759,672609at2759,Bub3,2,45,RNA metabolism
10262475at2759,4969440at2759,Bub3,2,45,RNA metabolism
10262475at2759,4933993at2759,Bub3,2,45,RNA metabolism
10262857at2759,801816at2759,BET3,2,34,Unclassified
10262857at2759,2737746at2759,BET3,2,34,Unclassified
10262986at2759,524499at2759,ERCC3,2,43,DNA metabolism
10262986at2759,2639159at2759,ERCC3,2,43,DNA metabolism
10262986at2759,4962221at2759,ERCC3,2,43,DNA metabolism
10263554at2759,5004146at2759,ATP6V1H,2,41,transporter
10264038at2759,5001397at2759,EXOSC9,2,33,RNA metabolism
10264220at2759,5002710at2759,ATP6V0A1,6,85,transporter
10264220at2759,4970834at2759,ATP6V0A1,6,85,transporter
10264220at2759,4919675at2759,ATP6V0A1,6,85,transporter
10264220at2759,2915243at2759,ATP6V0A1,6,85,transporter
10264220at2759,2898017at2759,ATP6V0A1,6,85,transporter
10264220at2759,762439at2759,ATP6V0A1,6,85,transporter
10264220at2759,4947390at2759,ATP6V0A1,6,85,transporter
10264220at2759,4892721at2759,ATP6V0A1,6,85,transporter
10264728at2759,5000743at2759,Naa20A,1,36,metabolite interconversion enzyme
10264728at2759,4883023at2759,Naa20A,1,36,metabolite interconversion enzyme
10264728at2759,5023990at2759,Naa20A,1,36,metabolite interconversion enzyme
10264910at2759,5005215at2759,NOP7,2,35,RNA metabolism
10265243at2759,3542375at2759,ELP3,2,36,chromatin/regulatory
10265628at2759,4999798at2759,SHM2,5,80,metabolite interconversion enzyme
10265628at2759,4969745at2759,SHM2,5,80,metabolite interconversion enzyme
10265628at2759,533092at2759,SHM2,5,80,metabolite interconversion enzyme
10265628at2759,4950980at2759,SHM2,5,80,metabolite interconversion enzyme
10265628at2759,5025697at2759,SHM2,5,80,metabolite interconversion enzyme
10265628at2759,4837079at2759,SHM2,5,80,metabolite interconversion enzyme
10265628at2759,695417at2759,SHM2,5,80,metabolite interconversion enzyme
10265628at2759,264300at2759,SHM2,5,80,metabolite interconversion enzyme
10265785at2759,2423377at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,782684at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,4998954at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,750587at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,4998958at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,4225129at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,728945at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,263638at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,709118at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,4454322at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,531747at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,3541172at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,460970at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,283101at2759,EIF4A2,9,190,RNA metabolism
10265785at2759,4962348at2759,EIF4A2,9,190,RNA metabolism
10266385at2759,5002325at2759,Pdhb,2,68,metabolite interconversion enzyme
10266385at2759,4836422at2759,Pdhb,2,68,metabolite interconversion enzyme
10266385at2759,4999795at2759,Pdhb,2,68,metabolite interconversion enzyme
10266385at2759,4999514at2759,Pdhb,2,68,metabolite interconversion enzyme
108365at2759,294132at2759,Pkm,4,110,metabolite interconversion enzyme
108365at2759,225934at2759,Pkm,4,110,metabolite interconversion enzyme
108365at2759,806122at2759,Pkm,4,110,metabolite interconversion enzyme
108365at2759,532695at2759,Pkm,4,110,metabolite interconversion enzyme
108365at2759,4853439at2759,Pkm,4,110,metabolite interconversion enzyme
108365at2759,4858914at2759,Pkm,4,110,metabolite interconversion enzyme
108365at2759,763936at2759,Pkm,4,110,metabolite interconversion enzyme
108365at2759,4882462at2759,Pkm,4,110,metabolite interconversion enzyme
108365at2759,211457at2759,Pkm,4,110,metabolite interconversion enzyme
108365at2759,759395at2759,Pkm,4,110,metabolite interconversion enzyme
1093at2759,5000045at2759,RPN9,1,36,protein modifying enzyme
1183224at2759,5013402at2759,ntl,2,42,Unclassified
1608002at2759,516453at2759,Nurf,3,79,metabolite interconversion enzyme
1608002at2759,4886403at2759,Nurf,3,79,metabolite interconversion enzyme
1608002at2759,811591at2759,Nurf,3,79,metabolite interconversion enzyme
1608002at2759,2540535at2759,Nurf,3,79,metabolite interconversion enzyme
16120at2759,4908503at2759,RRD2,3,48,protein-binding activity modulator
16120at2759,3768359at2759,RRD2,3,48,protein-binding activity modulator
16120at2759,5015154at2759,RRD2,3,48,protein-binding activity modulator
1649088at2759,4969636at2759,Dph1,1,34,Unclassified
1649088at2759,538646at2759,Dph1,1,34,Unclassified
1650at2759,5003856at2759,RRP4,2,34,RNA metabolism
1650at2759,1965647at2759,RRP4,2,34,RNA metabolism
1662883at2759,4581638at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,4775870at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,806058at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,782766at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,4884189at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,664997at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,4898470at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,3265293at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,2882948at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,4576019at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,2706867at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,3135889at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,3970709at2759,TUB2,13,142,cytoskeletal protein
1662883at2759,370399at2759,TUB2,13,142,cytoskeletal protein
1685042at2759,539632at2759,SUI2,1,35,translational protein
1698572at2759,5006326at2759,FARSB,1,36,translational protein
1706066at2759,4891463at2759,ACS2,3,65,metabolite interconversion enzyme
1706657at2759,4999362at2759,IARS1,2,38,translational protein
1716531at2759,4933913at2759,DERL3,2,61,transporter
1716531at2759,4841431at2759,DERL3,2,61,transporter
1716531at2759,4883184at2759,DERL3,2,61,transporter
1716531at2759,4839778at2759,DERL3,2,61,transporter
1719357at2759,5013108at2759,SEC22,3,40,Unclassified
1719357at2759,157347at2759,SEC22,3,40,Unclassified
1719357at2759,4343412at2759,SEC22,3,40,Unclassified
1727884at2759,5005697at2759,SRPRA,1,51,protein-binding activity modulator
1727884at2759,5002897at2759,SRPRA,1,51,protein-binding activity modulator
1727884at2759,4795369at2759,SRPRA,1,51,protein-binding activity modulator
1732493at2759,559078at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4455704at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4886721at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4983478at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,796281at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4981067at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4911745at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4656727at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,755288at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4259771at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,449587at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,83783at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4917541at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4804478at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4999543at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4918024at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,721649at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,751539at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4657525at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,719131at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4374304at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,187118at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4899119at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,2708878at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,762814at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4970939at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4886442at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,5017489at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4895640at2759,CDK3,16,231,protein modifying enzyme
1732493at2759,4805759at2759,CDK3,16,231,protein modifying enzyme
1741334at2759,4982678at2759,NUBP2,4,90,Unclassified
1741334at2759,671192at2759,NUBP2,4,90,Unclassified
1741334at2759,759141at2759,NUBP2,4,90,Unclassified
1741334at2759,5015377at2759,NUBP2,4,90,Unclassified
1741334at2759,4793799at2759,NUBP2,4,90,Unclassified
1741334at2759,1784562at2759,NUBP2,4,90,Unclassified
1748577at2759,3736861at2759,CCT8,2,38,chaperone
1748577at2759,209257at2759,CCT8,2,38,chaperone
1856718at2759,4985895at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,4971880at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,794782at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,753117at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,5016913at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,5014195at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,5000101at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,1650313at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,312074at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,742820at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,4792932at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,4759567at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,4421726at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,4972552at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,411353at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,1978546at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,5019368at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,4914510at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,4454330at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,5024108at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,4848643at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,693108at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,4828661at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,5014615at2759,TAH18,5,190,metabolite interconversion enzyme
1856718at2759,260338at2759,TAH18,5,190,metabolite interconversion enzyme
1882297at2759,669963at2759,Rpl13a,3,56,translational protein
1882297at2759,609966at2759,Rpl13a,3,56,translational protein
1882297at2759,412717at2759,Rpl13a,3,56,translational protein
1882346at2759,616555at2759,Mcm3,2,42,DNA metabolism
1882346at2759,4834690at2759,Mcm3,2,42,DNA metabolism
1882346at2759,490529at2759,Mcm3,2,42,DNA metabolism
1882346at2759,614756at2759,Mcm3,2,42,DNA metabolism
1882346at2759,662402at2759,Mcm3,2,42,DNA metabolism
1882346at2759,650054at2759,Mcm3,2,42,DNA metabolism
1882346at2759,2525231at2759,Mcm3,2,42,DNA metabolism
1882346at2759,4887463at2759,Mcm3,2,42,DNA metabolism
1918432at2759,2179416at2759,RPD3,3,86,Unclassified
1918432at2759,4998944at2759,RPD3,3,86,Unclassified
1918432at2759,2193768at2759,RPD3,3,86,Unclassified
1918432at2759,2747019at2759,RPD3,3,86,Unclassified
1918432at2759,4970654at2759,RPD3,3,86,Unclassified
192611at2759,237772at2759,PIG,3,55,Unclassified
192611at2759,615552at2759,PIG,3,55,Unclassified
192611at2759,235323at2759,PIG,3,55,Unclassified
192611at2759,750815at2759,PIG,3,55,Unclassified
192611at2759,4778099at2759,PIG,3,55,Unclassified
192611at2759,4387970at2759,PIG,3,55,Unclassified
1926878at2759,5002895at2759,Orc1,4,78,DNA metabolism
1926878at2759,5001940at2759,Orc1,4,78,DNA metabolism
1926878at2759,4888268at2759,Orc1,4,78,DNA metabolism
1926878at2759,4931187at2759,Orc1,4,78,DNA metabolism
1926878at2759,2074609at2759,Orc1,4,78,DNA metabolism
1926878at2759,4851463at2759,Orc1,4,78,DNA metabolism
1926878at2759,4824949at2759,Orc1,4,78,DNA metabolism
1926878at2759,4671800at2759,Orc1,4,78,DNA metabolism
1926878at2759,73360at2759,Orc1,4,78,DNA metabolism
1926878at2759,723419at2759,Orc1,4,78,DNA metabolism
1926878at2759,4761989at2759,Orc1,4,78,DNA metabolism
1930084at2759,4999102at2759,Ppp4c,9,238,protein modifying enzyme
1930084at2759,412870at2759,Ppp4c,9,238,protein modifying enzyme
1930084at2759,135702at2759,Ppp4c,9,238,protein modifying enzyme
